Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,Description,Comments,RoHS Status,Lead Free Status,REACH Status
450-1759-1-ND,TE CONNECTIVITY ALCOSWITCH (VA),FSM4JSMATR,,2,0,0,SWITCH TACTILE SPST-NO 0.05A 12V,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Aug-2011
568-8009-1-ND,NXP SEMICONDUCTORS (VA),"BC857B,235",,1,0,0,TRANSISTOR PNP 45V 100MA SOT23,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jul-2011
B0540WSDICT-ND,DIODES INC (VA),B0540WS-7,,1,0,0,DIODE SCHOTTKY 40V 500MA SOD323,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2012
609-4613-1-ND,FCI (VA),10118192-0001LF,MICROUSB-B CONNECTOR,2,0,0,CONN USB MICRO B RECPT SMT R/A,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2011
MCP1252-33X50I/MS-ND,MICROCHIP TECHNOLOGY,MCP1252-33X50I/MS,VREG,1,0,0,IC REG MULTI CONFIG 0.12A 8MSOP,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2012
887-1487-1-ND,TXC CORPORATION (VA),8Z-12.000MAAJ-T,12MHZ CRYSTAL,1,0,0,CRYSTAL 12.000MHZ 18PF SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Nov-2011
P330GCT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-3GEYJ331V,,1,0,0,RES 330 OHM 1/10W 5% 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
P200GCT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-3GEYJ201V,,1,0,0,RES 200 OHM 1/10W 5% 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
P1.5KGCT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-3GEYJ152V,,1,0,0,RES 1.5K OHM 1/10W 5% 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
P10KGCT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-3GEYJ103V,,2,0,0,RES 10K OHM 1/10W 5% 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
P33GCT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-3GEYJ330V,,2,0,0,RES 33 OHM 1/10W 5% 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
P3.0KGCT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-3GEYJ302V,,1,0,0,RES 3.0K OHM 1/10W 5% 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
P24KGCT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-3GEYJ243V,,1,0,0,RES 24K OHM 1/10W 5% 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
P100GCT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-3GEYJ101V,,1,0,0,RES 100 OHM 1/10W 5% 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
475-1409-1-ND,OSRAM OPTO SEMICONDUCTORS INC(VA),LG Q971-KN-1,,1,0,0,LED CHIPLED 570NM GREEN 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Aug-2011
475-2558-1-ND,OSRAM OPTO SEMICONDUCTORS INC(VA),LY Q976-P1S2-36,,1,0,0,LED CHIPLED 587NM YLW 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Aug-2011
568-8523-ND,NXP SEMICONDUCTORS,"LPC11U24FHI33/301,",,1,0,0,MCU USB 33HVQFN,,RoHS Compliant,Lead free,Unaffected Jul-2011
490-1409-1-ND,MURATA ELECTRONICS (VA),GRM1885C1H180JA01D,,4,0,0,CAP CER 18PF 50V 5% NP0 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jul-2011
311-1365-1-ND,YAGEO (VA),CC0805KKX7R7BB105,,1,0,0,CAP CER 1UF 16V 10% X7R 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Sep-2011
587-2596-1-ND,TAIYO YUDEN (VA),LMK316B7106KL-TD,,2,0,0,CAP CER 10UF 10V 10% X7R 1206,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Nov-2009
